,state,county,county name,state initial,studio_2020,studio_2021,studio_2022,bedroom_1_2020,bedroom_1_2021,bedroom_1_2022,bedroom_2_2020,bedroom_2_2021,bedroom_2_2022,bedroom_3_2020,bedroom_3_2021,bedroom_3_2022,bedroom_4_2020,bedroom_4_2021,bedroom_4_2022,pop2017
0,48,59,Callahan County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,13660
1,48,253,Jones County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,19970
2,48,441,Taylor County,TX,673,761.0,715.0,699,789.0,760.0,920,1028.0,981.0,1209,1383.0,1337.0,1560,1764.0,1658.0,135370
3,72,3,Aguada Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,39470
4,72,5,Aguadilla Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,55720
5,72,11,Añasco Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,27890
6,72,71,Isabela Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,43315
7,72,81,Lares Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,27320
8,72,99,Moca Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,37675
9,72,117,Rincón Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,14525
10,72,131,San Sebastián Municipio,PR,386,401.0,407.0,397,414.0,423.0,452,472.0,486.0,591,602.0,604.0,713,720.0,711.0,38970
11,72,141,Utuado Municipio,PR,379,379.0,407.0,390,390.0,423.0,444,444.0,486.0,553,552.0,604.0,601,602.0,711.0,30210
12,39,133,Portage County,OH,600,607.0,653.0,709,712.0,751.0,912,911.0,953.0,1147,1147.0,1206.0,1235,1235.0,1292.0,162080
13,39,153,Summit County,OH,600,607.0,653.0,709,712.0,751.0,912,911.0,953.0,1147,1147.0,1206.0,1235,1235.0,1292.0,541320
14,13,7,Baker County,GA,643,668.0,562.0,666,690.0,581.0,791,814.0,704.0,1031,1054.0,887.0,1151,1215.0,1036.0,3250
15,13,95,Dougherty County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,91520
16,13,177,Lee County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,29215
17,13,273,Terrell County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,8980
18,13,321,Worth County,GA,643,668.0,711.0,666,690.0,737.0,791,814.0,865.0,1031,1054.0,1121.0,1151,1215.0,1359.0,20810
19,41,43,Linn County,OR,758,839.0,854.0,875,908.0,915.0,1153,1197.0,1203.0,1643,1681.0,1674.0,1919,1994.0,1965.0,121075
20,36,1,Albany County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,308580
21,36,83,Rensselaer County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,159800
22,36,91,Saratoga County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,226630
23,36,93,Schenectady County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,155240
24,36,95,Schoharie County,NY,806,873.0,959.0,922,984.0,1068.0,1136,1205.0,1301.0,1416,1499.0,1608.0,1539,1634.0,1764.0,31610
25,35,1,Bernalillo County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,674855
26,35,43,Sandoval County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,138815
27,35,57,Torrance County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,15535
28,35,61,Valencia County,NM,612,669.0,716.0,764,830.0,883.0,940,1013.0,1071.0,1356,1450.0,1521.0,1614,1742.0,1833.0,75845
29,22,43,Grant Parish,LA,556,569.0,577.0,687,684.0,676.0,853,862.0,868.0,1122,1142.0,1165.0,1271,1261.0,1268.0,22305
30,22,79,Rapides Parish,LA,556,569.0,577.0,687,684.0,676.0,853,862.0,868.0,1122,1142.0,1165.0,1271,1261.0,1268.0,132080
31,42,25,Carbon County,PA,742,851.0,898.0,861,962.0,1011.0,1098,1230.0,1288.0,1421,1591.0,1660.0,1487,1668.0,1747.0,63985
