state initials,county name,rent50_0,rent50_1,rent50_2,rent50_3,rent50_4,year
TX,Callahan County,761,789,1028,1383,1764,2021
TX,Jones County,761,789,1028,1383,1764,2021
TX,Taylor County,761,789,1028,1383,1764,2021
PR,Aguada Municipio,401,414,472,602,720,2021
PR,Aguadilla Municipio,401,414,472,602,720,2021
PR,Añasco Municipio,401,414,472,602,720,2021
PR,Isabela Municipio,401,414,472,602,720,2021
PR,Lares Municipio,401,414,472,602,720,2021
PR,Moca Municipio,401,414,472,602,720,2021
PR,Rincón Municipio,401,414,472,602,720,2021
PR,San Sebastián Municipio,401,414,472,602,720,2021
PR,Utuado Municipio,379,390,444,552,602,2021
OH,Portage County,607,712,911,1147,1235,2021
OH,Summit County,607,712,911,1147,1235,2021
GA,Baker County,668,690,814,1054,1215,2021
GA,Dougherty County,668,690,814,1054,1215,2021
GA,Lee County,668,690,814,1054,1215,2021
GA,Terrell County,668,690,814,1054,1215,2021
GA,Worth County,668,690,814,1054,1215,2021
OR,Linn County,839,908,1197,1681,1994,2021
NY,Albany County,873,984,1205,1499,1634,2021
NY,Rensselaer County,873,984,1205,1499,1634,2021
NY,Saratoga County,873,984,1205,1499,1634,2021
NY,Schenectady County,873,984,1205,1499,1634,2021
NY,Schoharie County,873,984,1205,1499,1634,2021
NM,Bernalillo County,669,830,1013,1450,1742,2021
NM,Sandoval County,669,830,1013,1450,1742,2021
NM,Torrance County,669,830,1013,1450,1742,2021
NM,Valencia County,669,830,1013,1450,1742,2021
LA,Grant Parish,569,684,862,1142,1261,2021
LA,Rapides Parish,569,684,862,1142,1261,2021
PA,Carbon County,851,962,1230,1591,1668,2021
PA,Lehigh County,851,962,1230,1591,1668,2021
PA,Northampton County,851,962,1230,1591,1668,2021
NJ,Warren County,995,1101,1356,1687,1839,2021
PA,Blair County,609,686,855,1063,1159,2021
TX,Armstrong County,670,751,965,1317,1498,2021
TX,Carson County,670,751,965,1317,1498,2021
TX,Potter County,670,751,965,1317,1498,2021
TX,Randall County,670,751,965,1317,1498,2021
TX,Oldham County,736,825,1060,1318,1645,2021
IA,Story County,791,794,954,1354,1564,2021
AK,Anchorage Municipality,937,989,1303,1865,2256,2021
AK,Matanuska-Susitna Borough,780,825,1086,1554,1880,2021
MI,Washtenaw County,1118,1134,1374,1732,2057,2021
AL,Calhoun County,510,580,764,998,1156,2021
WI,Calumet County,629,659,854,1173,1177,2021
WI,Outagamie County,629,659,854,1173,1177,2021
PR,Arecibo Municipio,399,409,466,620,780,2021
PR,Camuy Municipio,399,409,466,620,780,2021
PR,Hatillo Municipio,399,409,466,620,780,2021
PR,Quebradillas Municipio,428,438,499,650,837,2021
NC,Buncombe County,1176,1179,1372,1878,2374,2021
NC,Henderson County,1176,1179,1372,1878,2374,2021
NC,Madison County,1176,1179,1372,1878,2374,2021
NC,Haywood County,595,756,862,1081,1380,2021
GA,Clarke County,710,749,873,1183,1373,2021
GA,Madison County,710,749,873,1183,1373,2021
GA,Oconee County,710,749,873,1183,1373,2021
GA,Oglethorpe County,710,749,873,1183,1373,2021
GA,Barrow County,1101,1126,1284,1615,1976,2021
GA,Bartow County,1101,1126,1284,1615,1976,2021
GA,Carroll County,1101,1126,1284,1615,1976,2021
GA,Cherokee County,1101,1126,1284,1615,1976,2021
GA,Clayton County,1101,1126,1284,1615,1976,2021
GA,Cobb County,1101,1126,1284,1615,1976,2021
GA,Coweta County,1101,1126,1284,1615,1976,2021
GA,Dawson County,1101,1126,1284,1615,1976,2021
GA,DeKalb County,1101,1126,1284,1615,1976,2021
GA,Douglas County,1101,1126,1284,1615,1976,2021
GA,Fayette County,1101,1126,1284,1615,1976,2021
GA,Forsyth County,1101,1126,1284,1615,1976,2021
GA,Fulton County,1101,1126,1284,1615,1976,2021
GA,Gwinnett County,1101,1126,1284,1615,1976,2021
GA,Heard County,1101,1126,1284,1615,1976,2021
GA,Henry County,1101,1126,1284,1615,1976,2021
GA,Jasper County,1101,1126,1284,1615,1976,2021
GA,Newton County,1101,1126,1284,1615,1976,2021
GA,Paulding County,1101,1126,1284,1615,1976,2021
GA,Pickens County,1101,1126,1284,1615,1976,2021
GA,Pike County,1101,1126,1284,1615,1976,2021
GA,Rockdale County,1101,1126,1284,1615,1976,2021
GA,Spalding County,1101,1126,1284,1615,1976,2021
GA,Walton County,1101,1126,1284,1615,1976,2021
GA,Butts County,675,680,896,1201,1400,2021
GA,Haralson County,687,691,830,1116,1391,2021
GA,Lamar County,668,683,779,1011,1201,2021
GA,Meriwether County,667,672,885,1197,1249,2021
GA,Morgan County,684,689,908,1181,1572,2021
NJ,Atlantic County,1012,1194,1509,2067,2302,2021
AL,Lee County,634,672,885,1158,1318,2021
GA,Burke County,689,767,883,1200,1529,2021
GA,Columbia County,689,767,883,1200,1529,2021
GA,McDuffie County,689,767,883,1200,1529,2021
GA,Richmond County,689,767,883,1200,1529,2021
SC,Aiken County,689,767,883,1200,1529,2021
SC,Edgefield County,689,767,883,1200,1529,2021
GA,Lincoln County,585,651,747,1009,1013,2021
TX,Bastrop County,1144,1309,1549,1997,2384,2021
TX,Caldwell County,1144,1309,1549,1997,2384,2021
TX,Hays County,1144,1309,1549,1997,2384,2021
TX,Travis County,1144,1309,1549,1997,2384,2021
TX,Williamson County,1144,1309,1549,1997,2384,2021
CA,Kern County,786,796,1039,1487,1799,2021
MD,Anne Arundel County,997,1213,1505,1950,2233,2021
MD,Baltimore County,997,1213,1505,1950,2233,2021
MD,Carroll County,997,1213,1505,1950,2233,2021
MD,Harford County,997,1213,1505,1950,2233,2021
MD,Howard County,997,1213,1505,1950,2233,2021
MD,Queen Anne's County,997,1213,1505,1950,2233,2021
MD,Baltimore city,997,1213,1505,1950,2233,2021
ME,Penobscot County,741,865,1107,1377,1811,2021
ME,Penobscot County,741,865,1107,1377,1811,2021
ME,Penobscot County,741,865,1107,1377,1811,2021
ME,Penobscot County,741,865,1107,1377,1811,2021
